PersonID,PersonName,SchoolID,SchoolName,SchoolCampus,DepartmentName,DepartmentID,BirthDate,StillWorking,JobID,JobTitle,Earnings,EarningsYear
1,Monika Munireddy,0C49O115,University of Massachusetts,Dartmouth,Mathematics,DEPT2,05/22/1968,yes,JOB3,Administrator,389129,2013
1,Monika Munireddy,0C49O115,University of Massachusetts,Dartmouth,Mathematics,DEPT2,05/22/1968,no,JOB8,Analyst,292043,2022
1,Monika Munireddy,0C49O115,University of Massachusetts,Dartmouth,Mathematics,DEPT2,05/22/1968,no,JOB1,Professor,331929,2011
1,Monika Munireddy,0C49O115,University of Massachusetts,Dartmouth,Mathematics,DEPT2,05/22/1968,no,JOB5,Engineer,215264,2016
2,Samantha Morgan,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,10/02/1964,yes,JOB5,Engineer,306407,2012
2,Samantha Morgan,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,10/02/1964,no,JOB1,Professor,139658,2020
3,James Orr,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,06/29/1968,no,JOB6,Researcher,162340,2013
3,James Orr,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,06/29/1968,no,JOB6,Researcher,126519,2015
4,Shannon Jordan,9IY5CAJY,University of California,Davis,Mathematics,DEPT2,11/01/1966,no,JOB4,Coordinator,256169,2016
4,Shannon Jordan,9IY5CAJY,University of California,Davis,Mathematics,DEPT2,11/01/1966,no,JOB8,Analyst,261414,2010
4,Shannon Jordan,9IY5CAJY,University of California,Davis,Mathematics,DEPT2,11/01/1966,no,JOB3,Administrator,189072,2019
4,Shannon Jordan,9IY5CAJY,University of California,Davis,Mathematics,DEPT2,11/01/1966,no,JOB4,Coordinator,248829,2012
5,Theresa Marshall,0C49O115,University of Massachusetts,Lowell,Mathematics,DEPT2,08/14/1995,yes,JOB8,Analyst,299377,2010
5,Theresa Marshall,0C49O115,University of Massachusetts,Lowell,Mathematics,DEPT2,08/14/1995,no,JOB6,Researcher,53799,2019
6,Dana Malone,VL3Y2W3Z,University of Florida,Tampa,Electrical Engineering,DEPT8,04/25/1972,no,JOB8,Analyst,224166,2015
7,Kenneth Gardner,0C49O115,University of Massachusetts,Amherst,Mathematics,DEPT2,03/10/1997,no,JOB4,Coordinator,114152,2018
8,Eddie Hall,9IY5CAJY,University of California,Berkeley,Mathematics,DEPT2,11/08/1991,yes,JOB3,Administrator,157511,2011
8,Eddie Hall,9IY5CAJY,University of California,Berkeley,Mathematics,DEPT2,11/08/1991,no,JOB2,Lecturer,141416,2018
8,Eddie Hall,9IY5CAJY,University of California,Berkeley,Mathematics,DEPT2,11/08/1991,no,JOB3,Administrator,123262,2020
8,Eddie Hall,9IY5CAJY,University of California,Berkeley,Mathematics,DEPT2,11/08/1991,no,JOB6,Researcher,349406,2016
8,Eddie Hall,9IY5CAJY,University of California,Berkeley,Mathematics,DEPT2,11/08/1991,no,JOB6,Researcher,126298,2010
9,William Brown,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,09/15/1961,no,JOB3,Administrator,352263,2014
9,William Brown,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,09/15/1961,no,JOB1,Professor,223505,2014
10,Matthew Frazier,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,04/05/1983,yes,JOB8,Analyst,162340,2015
10,Matthew Frazier,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,04/05/1983,no,JOB1,Professor,435057,2019
10,Matthew Frazier,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,04/05/1983,no,JOB8,Analyst,311241,2017
10,Matthew Frazier,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,04/05/1983,no,JOB6,Researcher,186016,2019
11,Kristin Day,0C49O115,University of Massachusetts,Lowell,Mathematics,DEPT2,11/15/1982,no,JOB1,Professor,247008,2021
11,Kristin Day,0C49O115,University of Massachusetts,Lowell,Mathematics,DEPT2,11/15/1982,no,JOB4,Coordinator,146474,2011
12,Philip Mayo,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,07/29/1958,no,JOB3,Administrator,389023,2021
12,Philip Mayo,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,07/29/1958,no,JOB7,Scientist,372899,2017
12,Philip Mayo,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,07/29/1958,no,JOB7,Scientist,268534,2021
12,Philip Mayo,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,07/29/1958,no,JOB4,Coordinator,113233,2010
12,Philip Mayo,VL3Y2W3Z,University of Florida,Orlando,Electrical Engineering,DEPT8,07/29/1958,no,JOB1,Professor,226251,2012
13,George Scott,0C49O115,University of Massachusetts,Lowell,Mathematics,DEPT2,11/30/1968,no,JOB2,Lecturer,429935,2019
14,Jennifer Baker,0C49O115,University of Massachusetts,Amherst,Mathematics,DEPT2,12/25/1986,yes,JOB6,Researcher,41306,2014
14,Jennifer Baker,0C49O115,University of Massachusetts,Amherst,Mathematics,DEPT2,12/25/1986,no,JOB2,Lecturer,293754,2018
14,Jennifer Baker,0C49O115,University of Massachusetts,Amherst,Mathematics,DEPT2,12/25/1986,no,JOB7,Scientist,316022,2015
14,Jennifer Baker,0C49O115,University of Massachusetts,Amherst,Mathematics,DEPT2,12/25/1986,no,JOB6,Researcher,162340,2019
15,Jason Curtis,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,12/21/1979,no,JOB5,Engineer,322158,2012
15,Jason Curtis,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,12/21/1979,no,JOB2,Lecturer,435205,2016
15,Jason Curtis,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,12/21/1979,no,JOB3,Administrator,398194,2014
15,Jason Curtis,W4IF601B,University of Texas,San Antonio,Mechanical Engineering,DEPT10,12/21/1979,no,JOB1,Professor,255158,2011
16,Kenneth Carr,VL3Y2W3Z,University of Florida,Gainesville,Electrical Engineering,DEPT8,08/03/1961,no,JOB8,Analyst,425909,2019
16,Kenneth Carr,VL3Y2W3Z,University of Florida,Gainesville,Electrical Engineering,DEPT8,08/03/1961,no,JOB7,Scientist,355185,2011
16,Kenneth Carr,VL3Y2W3Z,University of Florida,Gainesville,Electrical Engineering,DEPT8,08/03/1961,no,JOB3,Administrator,341242,2019
16,Kenneth Carr,VL3Y2W3Z,University of Florida,Gainesville,Electrical Engineering,DEPT8,08/03/1961,no,JOB4,Coordinator,60490,2015
16,Kenneth Carr,VL3Y2W3Z,University of Florida,Gainesville,Electrical Engineering,DEPT8,08/03/1961,no,JOB6,Researcher,49176,2019
17,Emily Holland,VL3Y2W3Z,University of Florida,Tampa,Electrical Engineering,DEPT8,03/09/1964,no,JOB1,Professor,89584,2012
18,Thomas Christensen,9IY5CAJY,University of California,Los Angeles,Mathematics,DEPT2,02/29/1980,no,JOB5,Engineer,339992,2013
19,Samantha Turner,LT5LBTSV,University of Illinois,Springfield,Humanities,DEPT6,05/02/1995,no,JOB6,Researcher,291469,2019
